Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
21	1578	1	90	1.0	7.0	90.0	526.0	0	0	0	0	0.0	0.0	0.0	0.0	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.3333333333333333	0.0	32.666666666666664	video
21	1578	1	90	1.0	7.0	90.0	526.0	0	0	0	0	0.0	0.0	0.0	0.0	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	1	90	1.0	7.0	90.0	526.0	0	0	0	0	0.0	0.0	0.0	0.0	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	1	98	0	0	0.0	0.25	0.0	24.5	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	1	98	0	0	0.0	0.25	0.0	24.5	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	5.25	0.0	394.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	2	96	2.0	0.8	96.0	58.4	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	2	116	2.0	0.6	116.0	42.8	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
21	1578	0	0	0.0	4.2	0.0	315.6	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.6666666666666666	0.0	48.666666666666664	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.5	0.0	35.666666666666664	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	3	210	3.0	4.0	210.0	298.0	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5714285714285714	0.0	41.714285714285715	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.42857142857142855	0.0	30.571428571428573	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
24	1788	0	0	0.0	3.4285714285714284	0.0	255.42857142857142	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.5	0.0	36.5	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
24	1788	0	0	0.0	3.0	0.0	223.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.4444444444444444	0.0	32.44444444444444	3	214	0	0	0.0	0.375	0.0	26.75	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
24	1788	0	0	0.0	3.0	0.0	223.5	0	0	0	0	0.0	0.0	0.0	0.0	video
4	292	0	0	0.0	0.4444444444444444	0.0	32.44444444444444	3	214	0	0	0.0	0.3333333333333333	0.0	23.77777777777778	video
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	video
