Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	1	98	0	0	0.0	0.25	0.0	24.5	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	1	98	0	0	0.0	0.25	0.0	24.5	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
23	1798	0	0	0.0	5.75	0.0	449.5	0	0	0	0	0.0	0.0	0.0	0.0	ping
5	434	3	238	3.0	1.0	238.0	86.8	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	4	336	3	238	3.0	0.8	238.0	67.2	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
24	1868	1	70	1.0	4.8	70.0	373.6	0	0	0	0	0.0	0.0	0.0	0.0	ping
10	924	5	490	5.0	1.6666666666666667	490.0	154.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	9	826	5	490	5.0	1.5	490.0	137.66666666666666	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
25	1938	1	70	1.0	4.166666666666667	70.0	323.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
15	1414	5	490	5.0	2.142857142857143	490.0	202.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	14	1316	5	490	5.0	2.0	490.0	188.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
3	238	0	0	0.0	0.42857142857142855	0.0	34.0	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.2857142857142857	0.0	20.0	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
26	2008	1	70	1.0	3.7142857142857144	70.0	286.85714285714283	0	0	0	0	0.0	0.0	0.0	0.0	ping
20	1904	5	490	5.0	2.5	490.0	238.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
26	2008	0	0	0.0	3.25	0.0	251.0	0	0	0	0	0.0	0.0	0.0	0.0	ping
25	2394	5	490	5.0	2.7777777777777777	490.0	266.0	19	1806	5	490	5.0	2.375	490.0	225.75	ping
3	238	0	0	0.0	0.375	0.0	29.75	2	140	0	0	0.0	0.25	0.0	17.5	ping
