Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	1	98	0	0	0.0	0.25	0.0	24.5	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.5	0.0	49.0	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	1	98	0	0	0.0	0.25	0.0	24.5	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	6.0	0.0	471.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
6	604	4	408	4.0	1.2	408.0	120.8	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	5	422	4	324	4.0	1.0	324.0	84.4	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	1	42	1.0	0.6	42.0	47.6	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
2	196	0	0	0.0	0.4	0.0	39.2	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	1	42	1.0	0.4	42.0	28.0	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
9	970	3	366	3.0	1.5	366.0	161.66666666666666	8	704	3	282	3.0	1.3333333333333333	282.0	117.33333333333333	dns
3	238	0	0	0.0	0.5	0.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
3	238	1	42	1.0	0.5	42.0	39.666666666666664	2	140	0	0	0.0	0.3333333333333333	0.0	23.333333333333332	dns
24	1884	0	0	0.0	4.8	0.0	376.8	0	0	0	0	0.0	0.0	0.0	0.0	dns
